D,AGE,CH4
1235.17,55243,451.941
1235.33,55263.6,457.39
1235.5,55284.1,462.043
1235.67,55304.7,465.738
1235.83,55325.3,468.523
1236.17,55371,472.469
1236.33,55396.3,480.568
1236.5,55421.5,497.544
1236.67,55446.7,524.442
1237.97,55665.2,515.9
1238.33,55729.3,548.332
1238.67,55789.2,553.806
1239.02,55850.8,558.3
1239.05,55854.3,552
1239.08,55857.7,563
1239.2,55872.1,539.861
1239.4,55895.1,516.88
1239.58,55915.2,470.8
1239.6,55918,500.635
1239.8,55941,495.448
1240.17,55984.7,486.306
1240.33,56005.4,470.399
1240.5,56026,462.358
1240.67,56046.7,463.783
1240.83,56067.4,466.072
1241.17,56114.9,467.58
1241.33,56141.8,473.405
1241.5,56168.7,487.579
1241.62,56187.2,466
1241.64,56192.1,463
1241.67,56195.6,499.532
1241.67,56196.9,459
1241.83,56222.5,503.11
1241.97,56245.3,461.5
1243.31,56473.9,477.7
1243.53,56512.3,474
1244.5,56694,517.148
1245.17,56825.4,544.031
1245.33,56858,559.984
1245.5,56890.7,560.995
1245.67,56923.3,562.998
1245.83,56955.9,571.654
1248.17,57298.8,577.972
1248.33,57327.1,576.605
1248.5,57355.4,575.11
1248.67,57383.7,579.394
1248.83,57412,586.217
1249.17,57466.9,589.499
1249.28,57485,565
1249.33,57493.5,586.003
1249.5,57520.1,580.982
1249.67,57546.7,581.209
1249.83,57573.3,589.709
1249.97,57595.8,541
1251.02,57768.3,580.3
1251.58,57850.4,574.7
1253.62,58165.8,565.3
1253.64,58170.8,572
1253.67,58175.7,570
1253.7,58180.7,563.7
1253.97,58225.3,559.4
1255.17,58385.4,570.839
1255.31,58406.9,564
1255.33,58411.3,548.806
1255.5,58437.2,514.856
1255.53,58441.1,528.9
1255.67,58463.1,487.247
1255.83,58489,471.376
1256.17,58548,466.567
1256.33,58581.1,467.691
1256.5,58614.2,473.505
1256.67,58647.3,483.881
1256.83,58680.4,496.716
1257.17,58739.5,505.681
1257.33,58765.5,511.265
1257.5,58791.4,522.745
1257.67,58817.4,533.018
1257.83,58843.4,531.027
1258.17,58894.9,530.641
1258.33,58920.5,543.738
1258.5,58946,556.606
1258.67,58971.5,556.138
1258.83,58997.1,549.067
1259.17,59046.5,548.97
1259.33,59070.4,558.786
1259.5,59094.3,570.6
1259.67,59118.1,580.161
1259.83,59142,585.476
1260.17,59193.7,576.451
1260.33,59221.5,550.443
1260.5,59249.2,520.26
1260.67,59277,495.727
1260.83,59304.8,482.209
1261.17,59361.6,481.828
